0000_00.00.07.640-00.00.09.050	In 1989, 
0000_00.02.51.120-00.02.53.290	Cross takes Cassie hostage
0000_00.02.53.290-00.02.56.120	to lure Lang into another fight.
0000_00.02.56.120-00.02.57.670	Lang overrides the regulator and shrinks to subatomic size
0000_00.02.57.670-00.03.05.080	 to penetrate Cross' suit and sabotage it to shrink uncontrollably, killing Cross.
0000_00.03.05.080-00.03.08.300	Lang disappears into the quantum realm,
0000_00.03.08.300-00.03.12.050	but manages to reverse the effects and returns to the macroscopic world.
0000_00.03.12.060-00.03.16.730	Out of gratitude for Lang's heroism, Paxton covers for Lang to keep him out of prison.
0000_00.03.16.730-00.03.23.240	Seeing that Lang survived and returned from the quantum realm, Hank Pym wonders if his wife is alive as well.
0000_00.03.23.240-00.03.26.660	Later, Scott Lang meets up with Luis, 
0000_00.03.26.660-00.03.29.280	who tells him that Sam Wilson, the Falcon, is looking for him.
0000_00.03.29.285-00.03.35.005	In a mid-credits scene, Hank Pym shows Hope a new wasp prototype suit 
0000_00.03.35.005-00.03.36.665	and offers it to her.
0000_00.03.36.665-00.03.41.425	In a post-credits scene, Sam Wilson and Steve Rogers, Captain America,
0000_00.03.41.425-00.03.44.680	have Bucky Barnes in their custody.
0000_00.03.44.680-00.03.51.630	Unable to contact Tony Stark because of the accords, Wilson mentions that he knows someone who can help.
0001_00.00.13.295-00.00.20.025	In the Eastern European country of Sokovia, the Avengers raid a Hydra facility, 
0001_00.00.20.025-00.00.24.195	commanded by Baron Wolfgang Von Strucker, who has been experimenting on humans
0001_00.00.24.195-00.00.26.750	using the scepter previously wielded by Loki.
0001_00.00.26.750-00.00.32.620	They encounter two of Strucker's test subjects, twins Pietro Maximoff, who has superhuman speed,
0001_00.00.32.620-00.00.36.530	and Wanda Maximoff, who can manipulate minds and project energy,
0001_00.00.36.530-00.00.38.190	and apprehend Strucker
0001_00.00.38.190-00.00.40.150	while Stark retrieves Loki's scepter.
0001_00.00.40.155-00.00.47.125	Stark and Banner discover an artificial intelligence within the scepter's gem
0001_00.00.47.125-00.00.49.825	and secretly use it to complete Stark's Ultron global defense program.
0001_00.00.49.825-00.00.53.690	The unexpectedly sentient Ultron, believing that he must eradicate humanity to save Earth,
0001_00.00.53.695-00.00.56.895	eliminates Stark's AI Jarvis,
0001_00.00.56.895-00.00.58.050	and attacks the Avengers at their headquarters.
0001_00.00.58.050-00.01.06.170	Escaping with the scepter, Ultron uses the resources in Strucker's Sokovia base to upgrade his rudimentary body and build an army of robot drones.
0001_00.01.06.170-00.01.11.980	Having killed Strucker, he recruits the Maximoffs, who hold Stark responsible for their parents' death by his weapons
0001_00.01.11.980-00.01.16.650	and go to the base of arms dealer, Ulysses Klaue to obtain Wakandan Vibranium.
0001_00.01.16.660-00.01.19.890	The Avengers attack Ultron and the Maximoffs, 
0001_00.01.19.890-00.01.21.760	but Wanda subdues them with haunting visions,
0001_00.01.21.760-00.01.24.020	causing the Hulk to rampage
0001_00.01.24.020-00.01.26.790	until Stark stops him with his anti-Hulk armor.
0001_00.01.26.795-00.01.31.925	A worldwide backlash over the resulting destruction and the fears Wanda's hallucinations incited 
0001_00.01.31.925-00.01.34.800	send the team into hiding at a safehouse.
0001_00.01.34.800-00.01.38.390	Thor departs to consult with Dr. Erik Selvig
0001_00.01.38.390-00.01.41.390	on the meaning of the apocalyptic future he saw in his hallucination, 
0001_00.01.41.390-00.01.46.960	while Romanoff and Banner plan to flee together after realizing a mutual attraction.
0001_00.01.46.960-00.01.52.220	However, Nick Fury arrives and encourages the team to form a plan to stop Ultron.
0001_00.01.52.220-00.01.54.980	In Seoul, 
0001_00.01.54.985-00.01.57.365	Ultron forces the team's friend, Dr. Helen Cho,
0001_00.01.57.365-00.01.59.925	to use her synthetic tissue technology, together with vibranium 
0001_00.01.59.925-00.02.03.930	and the scepter's gem, to perfect a new body for him.
0001_00.02.03.930-00.02.05.890	As Ultron uploads himself into the body,
0001_00.02.05.890-00.02.11.590	Wanda is able to read his mind, discovering his plan for human extinction.
0001_00.02.11.590-00.02.12.360	The Maximoffs turn against Ultron.
0001_00.02.12.367-00.02.13.287	Rogers, 
0001_00.02.13.287-00.02.14.197	Romanoff
0001_00.02.14.197-00.02.15.387	and Barton
0001_00.02.15.387-00.02.17.097	find Ultron and retrieve the synthetic body, 
0001_00.02.17.097-00.02.18.657	but Ultron captures Romanoff.
0001_00.02.18.660-00.02.23.350	The Avengers fight amongst themselves
0001_00.02.23.350-00.02.27.790	when Stark secretly uploads Jarvis, who is still operational after hiding from Ultron inside the internet, into the synthetic body.
0001_00.02.27.790-00.02.30.890	Thor returns to help activate the body, 
0001_00.02.30.890-00.02.36.725	explaining that the gem on its brow, one of the six infinity stones, the most powerful objects in existence, was part of his vision.
0001_00.02.36.725-00.02.39.265	Vision
0001_00.02.39.265-00.02.40.565	and the Maximoffs accompany the Avengers to Sokovia, 
0001_00.02.40.565-00.02.43.495	where Ultron has used the remaining vibranium to build a machine
0001_00.02.43.495-00.02.49.600	 to lift a large part of the capital city skyward, intending to crash into the ground to cause global extinction.
0001_00.02.49.600-00.02.51.680	Banner rescues Romanoff, 
0001_00.02.51.680-00.02.53.155	who awakens the Hulk for the battle.
0001_00.02.53.155-00.02.55.225	The Avengers fight Ultron's army, 
0001_00.02.55.225-00.02.56.725	while Fury arrives in a Helicarrier
0001_00.02.56.725-00.02.57.795	with Maria Hill,
0001_00.02.57.795-00.03.00.295	James Rhodes
0001_00.03.00.295-00.03.01.690	and Shield agents to evacuate civilians.
0001_00.03.01.690-00.03.05.090	Pietro dies when he shields Barton from gunfire
0001_00.03.05.090-00.03.09.880	and a vengeful Wanda abandons her post to destroy Ultron's primary body, 
0001_00.03.09.880-00.03.10.950	which allows one of his drones to activate the machine.
0001_00.03.10.950-00.03.12.890	The city plummets, 
0001_00.03.12.890-00.03.15.320	but Stark and Thor overload the machine
0001_00.03.15.320-00.03.16.290	and shatter the land mass.
0001_00.03.16.295-00.03.20.825	In the aftermath, the Hulk, unwilling to endanger Romanoff by being with her,
0001_00.03.20.825-00.03.22.055	departs in a Quinn jet,
0001_00.03.22.055-00.03.24.720	while the Vision confronts Ultron's last remaining body.
0001_00.03.24.720-00.03.27.930	Later, with the Avengers having established a new base, 
0001_00.03.27.930-00.03.28.590	run by Fury,
0001_00.03.28.590-00.03.29.710	Hill, Cho 
0001_00.03.29.710-00.03.30.760	and Selvig, 
0001_00.03.30.760-00.03.35.620	Thor returns to Asgard to learn more about the forces he suspects have manipulated recent events.
0001_00.03.35.620-00.03.36.530	As Stark leaves
0001_00.03.36.530-00.03.37.890	and Barton retires, 
0001_00.03.37.890-00.03.38.990	Rogers and Romanoff prepare to train new Avengers: 
0001_00.03.38.990-00.03.40.920	Rhodes, 
0001_00.03.40.920-00.03.42.670	The Vision, 
0001_00.03.42.670-00.03.43.590	Sam Wilson
0001_00.03.43.590-00.03.44.560	and Wanda.
0001_00.03.44.560-00.03.55.790	In a mid-credit scene, Thanos, dissatisfied by the failures of his pawns, dons a gauntlet and vows to retrieve the infinity stones himself.
0002_00.00.00.000-00.00.07.860	18 months after Superman's destructive battle with General Zod in Metropolis, Superman has become a controversial figure.
0002_00.00.07.860-00.00.11.780	Daily Planet reporter, Clark Kent, Superman's alter ego, 
0002_00.00.11.780-00.00.13.560	has moved in with Lois Lane.
0002_00.00.13.560-00.00.16.490	Bruce Wayne, 
0002_00.00.16.490-00.00.18.820	who has operated in Gotham City as the vigilante Batman for nearly two decades, 
0002_00.00.18.820-00.00.21.360	sees Superman as a potential threat to humanity.
0002_00.00.21.365-00.00.24.155	After learning of Batman's activities, Clark views Batman as a threat
0002_00.00.24.155-00.00.26.430	and seeks to stop him via Daily Planet articles.
0002_00.00.26.430-00.00.32.950	Wayne learns that Russian weapon trafficker, Anatoly can Yossef, 
0002_00.00.32.950-00.00.35.230	has been contacting LexCorp's mogul, Lex Luthor.
0002_00.00.35.235-00.00.38.485	Meanwhile, Luther tries to persuade Senator June Finch
0002_00.00.38.485-00.00.39.615	to allow him to import kryptonite 
0002_00.00.39.615-00.00.45.910	retrieved from the Indian Ocean following the results of Zod's terraforming attempt, 
0002_00.00.45.915-00.00.46.615	UNMATCHED: claiming to use it as a deterrent against Kryptonians,
0002_00.00.46.615-00.00.48.365	 but she denies the request.
0002_00.00.48.365-00.00.51.515	He also makes side dealings with Finch's subordinate
0002_00.00.51.515-00.00.53.325	and demands access to Zod's body
0002_00.00.53.325-00.00.55.230	and the Kryptonian scoutship.
0002_00.00.55.230-00.00.58.990	Wayne attends Luthor's party at LexCorp, 
0002_00.00.58.990-00.01.01.320	where he meets a mysterious antiques dealer, named Diana Prince, 
0002_00.01.01.320-00.01.03.570	and retrieves encrypted data from the company's mainframe.
0002_00.01.03.575-00.01.05.765	While decrypting the drive at the Batcave, 
0002_00.01.05.765-00.01.08.315	Wayne has a dream of a post-apocalyptic world
0002_00.01.08.315-00.01.09.895	where he leads a group of rebels against Superman.
0002_00.01.09.895-00.01.11.625	He is snapped out of the dream
0002_00.01.11.625-00.01.17.920	 by an unidentified time traveler, who warns him of Wayne's crucial role in the distant future and urges him to find the others.
0002_00.01.17.920-00.01.25.280	Wayne later discovers that Luthor is not only experimenting with kryptonite, but also investigating metohumans, 
0002_00.01.25.280-00.01.26.820	one of them is Prince herself, who is an immortal warrior.
0002_00.01.26.820-00.01.32.760	Wayne admits to Alfred Pennyworth that he plans to steal a kryptonite to weaponize it should it become necessary to fight Superman.
0002_00.01.32.760-00.01.38.180	Luthor orchestrates a bombing at a congressional hearing where Finch is questioning Superman on the validity of his actions,
0002_00.01.38.180-00.01.41.580	killing everyone present besides Superman.
0002_00.01.41.580-00.01.44.370	Believing that he should have detected the bomb and frustrated by his failure to save the people, 
0002_00.01.44.370-00.01.47.820	 Superman goes into self-imposed exile.
0002_00.01.47.820-00.01.51.030	Batman breaks into LexCorp and steals the Kryptonite,
0002_00.01.51.030-00.01.53.560	planning to use it to battle Superman by building a powered exoskeleton
0002_00.01.53.560-00.01.56.330	and creating a kryptonite grenade launcher
0002_00.01.56.330-00.01.58.360	and a kryptonite-tipped spear.
0002_00.01.58.360-00.02.03.280	Luthor enters the Kryptonian ship and learns of its functions as well as recorded alien worlds.
0002_00.02.03.280-00.02.08.470	He reveals that he has manipulated Superman and Batman by fueling their animosity for each other.
0002_00.02.08.470-00.02.11.020	Luthor demands Superman fight and kill Batman
0002_00.02.11.020-00.02.13.190	in exchange for Martha's life.
0002_00.02.13.195-00.02.14.855	Superman tries to reason with Batman, 
0002_00.02.14.855-00.02.18.560	but Batman instigates a brutal fight and ultimately wins.
0002_00.02.18.560-00.02.22.850	Before Batman can kill Superman with the spear, Superman urges Batman to save Martha, 
0002_00.02.22.850-00.02.24.960	whose name is also shared with Wayne's late mother.
0002_00.02.24.965-00.02.26.825	Lane arrives and explains the situation, 
0002_00.02.26.825-00.02.29.835	convincing Batman that Superman is not a threat.
0002_00.02.29.835-00.02.32.365	Unwilling to let someone else's mother die,
0002_00.02.32.365-00.02.35.030	 Batman leaves to rescue Martha upon learning of Luthor's plan.
0002_00.02.35.040-00.02.35.830	While Superman confronts Luthor on the scoutship,
0002_00.02.35.830-00.02.41.820	Luthor executes his backup plan, unleashing a genetically engineered monster
0002_00.02.41.820-00.02.42.330	with DNA from both Zod's body
0002_00.02.42.330-00.02.43.760	and his own.
0002_00.02.43.765-00.02.47.655	However, Diana Prince arrives unexpectedly, revealing her metahuman nature,
0002_00.02.47.655-00.02.50.690	she joins forces with Batman and Superman to fight the creature.
0002_00.02.50.690-00.02.54.730	They are soon outmatched by its power as it can absorb and redirect energy.
0002_00.02.54.730-00.02.59.060	Realizing that it is also vulnerable to kryptonite, Superman retrives the kryptonite spear.
0002_00.02.59.062-00.03.03.072	With Batman and Prince's help distracting it,
0002_00.03.03.072-00.03.05.380	Superman impales the monster.
0002_00.03.05.380-00.03.09.185	As it dies, the creature stabs and kills a weakened Superman with one of its bone protrusions.
0002_00.03.09.185-00.03.11.055	Luthor is arrested 
0002_00.03.11.055-00.03.19.380	and Batman confronts him in prison, warning Luthor that he will always be watching him.
0002_00.03.19.380-00.03.21.530	Luthor gloats that Superman's death has made the world vulnerable to powerful alien threats and that something bigger is coming to Earth.  
0002_00.03.21.530-00.03.23.750	A memorial is held for Superman in Metropolis.
0002_00.03.23.750-00.03.25.130	Clark is also declared dead 
0002_00.03.25.130-00.03.31.220	and Bruce Wayne, Lois Lane, Martha Kent, and Diana Price attend a private funeral for him in Smallville.
0002_00.03.31.220-00.03.35.480	Martha gives an envelope to Lois Lane which contains an engagement ring from Clark.
0002_00.03.35.485-00.03.38.865	After the funeral, Wayne reveals to Prince
0002_00.03.38.865-00.03.44.355	 that he plans to form a team of metahumans, starting with the ones from Luthor's files, to help protect the world in Superman's absence.
0002_00.03.44.355-00.03.46.425	After they leave,
0002_00.03.46.425-00.03.48.865	the dirt around Clark's coffin begins to levitate.
0003_00.00.10.355-00.00.14.045	In Los Angeles in November 2019,
0003_00.00.14.045-00.00.16.595	ex police officer, Rick Deckard, 
0003_00.00.16.595-00.00.18.385	is detained by Officer Gaff
0003_00.00.18.385-00.00.20.855	and brought to his former supervisor, Bryant.
0003_00.00.20.855-00.00.24.685	Deckard, whose job as a Blade Runner was to track down bioengineered beings,
0003_00.00.24.685-00.00.28.605	known as replicants and retire or kill them,
0003_00.00.28.605-00.00.37.820	is informed that four have come to Earth illegally.
0003_00.00.37.820-00.00.39.490	UNMATCHED:  As Tyrell Corporation, Nexus 6 models, they have only a 4 year lifespan and may have come to Earth to try to extend their lives.
0003_00.00.39.490-00.00.41.450	Deckard watches a video
0003_00.00.41.450-00.00.45.080	of a Blade Runner named Holden administering the Voight-Kampff test, 
0003_00.00.45.080-00.00.51.490	designed to distinguish replicants from humans based on their emotional response to questions.
0003_00.00.51.490-00.00.54.840	The test subject, Leon, shoots Holden after Holden asks about Leon's mother.
0003_00.00.54.845-00.00.58.595	Byrant wants Deckard to retire Leon and the other three replicants, 
0003_00.00.58.595-00.01.00.135	Roy Batty, 
0003_00.01.00.135-00.01.01.515	Zhora 
0003_00.01.01.515-00.01.03.135	and Pris.
0003_00.01.03.135-00.01.05.355	Deckard initially refuses, 
0003_00.01.05.355-00.01.08.220	but after Bryant ambiguously threatens him, 
0003_00.01.08.220-00.01.08.800	UNMATCHED:  he relectantly agrees.
0003_00.01.08.805-00.01.13.815	Deckard begins his investigation at the Tyrell Corporation
0003_00.01.13.815-00.01.15.895	to ensure that the test works on Nexus 6 models.
0003_00.01.15.895-00.01.18.285	While there, he discovers that Eldon Tyrell's assistant, 
0003_00.01.18.285-00.01.22.540	 Rachael, is an experimental replicant who believes herself to be human.
0003_00.01.22.540-00.01.23.650	UNMATCHED:Rachael has been given false memories to provide an emotional cushion.
0003_00.01.23.650-00.01.26.775	UNMATCHED
0003_00.01.26.785-00.01.30.465	As a result, a more extensive test is required 
0003_00.01.30.465-00.01.31.175	 to determine whether she is a replicant.
0003_00.01.31.175-00.01.35.005	Events are then set into motion
0003_00.01.35.005-00.01.37.645	that pit Deckard's search for the replicants
0003_00.01.37.645-00.01.38.540	UNMATCHED:  against their search for Tyrell to force him to extend their lives.
0003_00.01.38.540-00.01.43.340	Roy and Leon investigate a replicant I manufacturing laboratory
0003_00.01.43.340-00.01.46.140	and learn of J.F. Sebastian, a gifted genetic designer
0003_00.01.46.140-00.01.48.100	who works closely with Tyrell.
0003_00.01.48.100-00.01.52.010	Rachael visits Deckard at his apartment to prove her humanity
0003_00.01.52.010-00.01.53.980	by showing him a family photo, 
0003_00.01.53.980-00.01.56.690	but after Deckard reveals that her memories are implants from Tyrell's niece,
0003_00.01.56.690-00.01.59.280	 she leaves his apartment in tears.
0003_00.01.59.280-00.02.03.400	Meanwhile, Pris locates Sebastian and manipulates him to gain his trust.
0003_00.02.03.400-00.02.09.420	While searching Leon's hotel room, Deckard finds a photo of Zhora and a synthetic snake scale
0003_00.02.09.420-00.02.11.540	that leads him to a strip club where Zhora works.
0003_00.02.11.540-00.02.13.340	Deckard kills Zhora
0003_00.02.13.340-00.02.18.680	and shortly after is told by Bryant to also retire Rachael, who has disappeared from the Tyrell Corporation.
0003_00.02.18.685-00.02.20.875	After Deckard spots Rachael in the crowd,
0003_00.02.20.875-00.02.22.305	he is attacked by Leon,
0003_00.02.22.305-00.02.25.470	but Rachael kills Leon using Deckard's dropped pistol.
0003_00.02.25.470-00.02.30.480	The two return to Deckard's apartment and during an intimate discussion, he promises not to hunt her.
0003_00.02.30.480-00.02.35.020	As she abruptly tries to leave, Deckard physically restrains her, forcing her to kiss him.
0003_00.02.35.020-00.02.39.630	Arriving at Sebastian's apartment, Roy tells Pris the others are dead.
0003_00.02.39.630-00.02.47.650	Sympathetic to their plight, Sebastian reveals that because of Methuselah syndrome, a genetic premature aging disorder, his life will also be cut short.
0003_00.02.47.660-00.02.51.500	Sebastian and Roy gain entrance into Tyrell's secure penthouse,
0003_00.02.51.500-00.02.54.540	where Roy demands more life from his maker.
0003_00.02.54.540-00.02.56.170	Tyrell tells him that it is impossible.
0003_00.02.56.175-00.02.57.585	Roy confesses that he has done questionable things,
0003_00.02.57.585-00.03.05.100	which Tyrell dismisses, praising Roy's advanced design and accomplishments in his short life.
0003_00.03.05.100-00.03.06.870	Roy kisses Tyrell
0003_00.03.06.870-00.03.07.840	then kills him.
0003_00.03.07.840-00.03.10.800	Sebastian runs for the elevator, followed by Roy, 
0003_00.03.10.800-00.03.13.220	who then rides the elevator down alone.
0003_00.03.13.220-00.03.18.060	Though not shown, it is implied by Bryant via police radio that Roy also kills Sebastian.
0003_00.03.18.060-00.03.20.400	Upon entering Sebastian's apartment, 
0003_00.03.20.400-00.03.23.550	Deckard is ambushed by Pris
0003_00.03.23.550-00.03.25.600	but he manages to kill her just as Roy returns.
0003_00.03.25.600-00.03.28.630	As Roy starts to die,
0003_00.03.28.630-00.03.30.660	he chases Deckard through the building, ending up on the roof.
0003_00.03.30.660-00.03.32.600	Deckard tries to jump to an adjacent roof,
0003_00.03.32.600-00.03.35.160	but misses and is left hanging precariously between buildings.
0003_00.03.35.165-00.03.36.835	Roy makes the jump with ease
0003_00.03.36.835-00.03.38.245	and as Deckard's grip loosens,
0003_00.03.38.245-00.03.40.910	Roy hoists him onto the roof, saving him.
0003_00.03.40.910-00.03.47.310	As Roy's life runs out, he delivers a monologue about how his memories will be lost in time, like tears and rain.
0003_00.03.47.310-00.03.49.510	Roy dies in front of Deckard,
0003_00.03.49.510-00.03.50.770	who watches silently.
0003_00.03.50.770-00.03.59.230	Gaff arrives and shouts across to Deckard "It's too bad she won't live, but then again, who does?"
0003_00.03.59.230-00.04.01.880	Deckard returns to the apartment and finds the door ajar, 
0003_00.04.01.880-00.04.04.110	 but Rachael is safe, asleep in his bed.
0003_00.04.04.110-00.04.16.330	As they leave, Deckard notices a small tin foil origami unicorn on the floor, a familiar calling card that brings back to him Gaff's final words.
0003_00.04.16.330-00.04.17.010	UNMACTHED:  Deckard and Rachael quickly leave the apartment block.
0004_00.00.13.445-00.00.15.765	In 1991,
0004_00.00.15.765-00.00.20.015	the brainwashed Super Soldier, Bucky Barnes, also known as the Winter Soldier, 
0004_00.00.20.015-00.00.24.125	 is dispatched from a Hydra base in Siberia to intercept an automobile
0004_00.00.24.125-00.00.26.330	carrying a case of Super Soldier Serum.
0004_00.00.26.330-00.00.32.690	he present day, approximately one year after Ultron's defeat in the nation of Sokovia at the hands of the Avengers, 
0004_00.00.32.690-00.00.35.590	Steve Rogers/Captain America,
0004_00.00.35.590-00.00.36.750	Natasha Romanoff/Black Widow, 
0004_00.00.36.750-00.00.39.030	Sam Wilson/The Falcon,
0004_00.00.39.030-00.00.41.030	and Wanda Maximoff 
0004_00.00.41.030-00.00.42.980	stop Brock Rumlow
0004_00.00.42.980-00.00.44.330	from stealing a biological weapon from a lab
0004_00.00.44.330-00.00.45.210	 in Lagos.
0004_00.00.45.210-00.00.49.140	Rumlow blows himself up, hoping to kill Rogers.
0004_00.00.49.140-00.00.54.290	When Maximoff throws the explosion into the sky with telekinesis,
0004_00.00.54.290-00.00.57.760	it damages a nearby building, killing several Wakandan humanitarian workers.
0004_00.00.57.770-00.01.09.565	US Secretary of State, Thaddeus Ross, informs the Avengers that the United Nations is preparing to pass the Sokovia Accords, which will establish a UN panel to oversee and control the Avengers.
0004_00.01.09.565-00.01.17.565	The Avengers are divided, Tony Stark supports oversight because of his role in Ultron's creation and Sokovia's devastation, 
0004_00.01.17.565-00.01.21.650	while Steve Rogers has more faith in his own judgement than that of a government.
0004_00.01.21.650-00.01.25.430	At a conference in Vienna, where the Accords are to be rattified, 
0004_00.01.25.430-00.01.28.730	a bomb kills King T'Chaka of Wakanda.
0004_00.01.28.735-00.01.31.975	Security footage indicates the bomber is Barnes, 
0004_00.01.31.975-00.01.34.640	whom T'Chaka's son, T'Challa/Black Panther, vows to kill.
0004_00.01.34.640-00.01.40.260	Informed by Sharon Carter of Bucky Barnes' whereabouts, and the authorities' intentions to kill him,
0004_00.01.40.260-00.01.48.920	Rogers tries to bring in Bucky Barnes, his childhood friend and war comrade, himself.
0004_00.01.48.920-00.01.53.410	Steve Rogers and Sam Wilson track Bucky Barnes to Bucharest, and attempt to protect him from T'Challa and the authorities, 
0004_00.01.53.410-00.01.56.280	but all four, including T'Challa are apprehended.
0004_00.01.56.285-00.02.00.565	Helmut Zemo tracks down and kills Barnes' old Hydra handler,
0004_00.02.00.565-00.02.05.655	stealing a book containing the trigger words that activates Barnes' brainwashing.
0004_00.02.05.655-00.02.08.925	Impersonating a psychaitrist sent to interview Barnes,
0004_00.02.08.925-00.02.12.420	Zemo recites the words to make Barnes obey him.
0004_00.02.12.420-00.02.16.160	He questions Barnes, then sends him on a rampage to cover his own escape.
0004_00.02.16.160-00.02.18.530	Steve Rogers stops Bucky Barnes
0004_00.02.18.530-00.02.19.380	and sneaks him away.
0004_00.02.19.380-00.02.30.750	When Barnes regains his senses, he explains that Zema was the real Vienna bomber and wanted the location of the Siberian Hydra base, where other brainwashed Winter Soldiers are kept in cryogenic stasis.
0004_00.02.30.755-00.02.40.525	Unwilling to wait for authorization to apprehend Zemo, Steve Rogers and Sam Wilson go rogue and recruit Maximoff, Clint Barton/Hawkeye, 
0004_00.02.40.525-00.02.42.785	and Scott Lang/Ant-Man to their cause.
0004_00.02.42.785-00.02.44.325	With Ross' permission, 
0004_00.02.44.325-00.02.48.195	Tony Stark assembles a team composed of Romanov,
0004_00.02.48.195-00.02.50.925	James Rhodes/War Machine, 
0004_00.02.50.925-00.02.52.465	 Vision
0004_00.02.52.465-00.02.57.345	and Peter Parker/Spiderman to capture the renegades.
0004_00.02.57.345-00.03.02.855	Tony Stark's team intercepts Steve Rogers' group at Leipzig/Halle airport, where they fight 
0004_00.03.02.855-00.03.04.865	until Romanov allows Rogers and Barnes to escape.
0004_00.03.04.865-00.03.09.665	The rest of Rogers' team is captured and detained at the Raft prison,
0004_00.03.09.665-00.03.11.565	while Rhodes is partially paralyzed
0004_00.03.11.565-00.03.13.695	after being inadvertantly shot down by Vision
0004_00.03.13.695-00.03.16.230	and Romanov goes into exile.
0004_00.03.16.230-00.03.19.930	Stark discovers evidence that Barnes was framed by Zemo
0004_00.03.19.930-00.03.22.490	 and convinces Wilson to give him Rogers' destination.
0004_00.03.22.490-00.03.30.350	Without informing Ross, Stark goes to the Siberian Hydra facility and strikes a truce with Steve Rogers and Bucky Barnes, 
0004_00.03.30.350-00.03.32.230	unaware they were secretly followed by T'Challa.
0004_00.03.32.235-00.03.36.065	They find that the other super soldiers have been killed by Zemo,
